Countrycode,Namespace,AirQualityNetwork,AirQualityStation,AirQualityStationEoICode,SamplingPoint,SamplingProcess,Sample,AirPollutant,AirPollutantCode,AveragingTime,Concentration,UnitOfMeasurement,DatetimeBegin,DatetimeEnd,Validity,Verification
BG,BG.BG-ExEA.AQ,NET-BG001A,STA-BG0079A,BG0079A,SPO-BG0079A_00005_100,SPP-BG_A_BETA_thermo5030SHARP,,PM10,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5,hour,8,µg/m3,2018-01-03 02:00:00 +01:00,2018-01-03 03:00:00 +01:00,1,1
BG,BG.BG-ExEA.AQ,NET-BG001A,STA-BG0079A,BG0079A,SPO-BG0079A_00005_100,SPP-BG_A_BETA_thermo5030SHARP,,PM10,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5,hour,35.65,µg/m3,2018-01-02 20:00:00 +01:00,2018-01-02 21:00:00 +01:00,1,1
BG,BG.BG-ExEA.AQ,NET-BG001A,STA-BG0079A,BG0079A,SPO-BG0079A_00005_100,SPP-BG_A_BETA_thermo5030SHARP,,PM10,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5,hour,42.75,µg/m3,2018-01-16 08:00:00 +01:00,2018-01-16 09:00:00 +01:00,1,1
BG,BG.BG-ExEA.AQ,NET-BG001A,STA-BG0079A,BG0079A,SPO-BG0079A_00005_100,SPP-BG_A_BETA_thermo5030SHARP,,PM10,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5,hour,13.36,µg/m3,2018-01-09 21:00:00 +01:00,2018-01-09 22:00:00 +01:00,1,1
BG,BG.BG-ExEA.AQ,NET-BG001A,STA-BG0079A,BG0079A,SPO-BG0079A_00005_100,SPP-BG_A_BETA_thermo5030SHARP,,PM10,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5,hour,14.32,µg/m3,2018-01-09 20:00:00 +01:00,2018-01-09 21:00:00 +01:00,1,1
BG,BG.BG-ExEA.AQ,NET-BG001A,STA-BG0079A,BG0079A,SPO-BG0079A_00005_100,SPP-BG_A_BETA_thermo5030SHARP,,PM10,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5,hour,12.49,µg/m3,2018-01-10 15:00:00 +01:00,2018-01-10 16:00:00 +01:00,1,1
BG,BG.BG-ExEA.AQ,NET-BG001A,STA-BG0079A,BG0079A,SPO-BG0079A_00005_100,SPP-BG_A_BETA_thermo5030SHARP,,PM10,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5,hour,8.77,µg/m3,2018-01-10 05:00:00 +01:00,2018-01-10 06:00:00 +01:00,1,1
BG,BG.BG-ExEA.AQ,NET-BG001A,STA-BG0079A,BG0079A,SPO-BG0079A_00005_100,SPP-BG_A_BETA_thermo5030SHARP,,PM10,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5,hour,301.36,µg/m3,2018-01-09 02:00:00 +01:00,2018-01-09 03:00:00 +01:00,1,1
BG,BG.BG-ExEA.AQ,NET-BG001A,STA-BG0079A,BG0079A,SPO-BG0079A_00005_100,SPP-BG_A_BETA_thermo5030SHARP,,PM10,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5,hour,39.61,µg/m3,2018-01-12 15:00:00 +01:00,2018-01-12 16:00:00 +01:00,1,1
BG,BG.BG-ExEA.AQ,NET-BG001A,STA-BG0079A,BG0079A,SPO-BG0079A_00005_100,SPP-BG_A_BETA_thermo5030SHARP,,PM10,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5,hour,217.94,µg/m3,2018-01-09 03:00:00 +01:00,2018-01-09 04:00:00 +01:00,1,1
