Entity,Code,Year, (% of adults)
Albania,ALB,2000,56.9
Albania,ALB,2005,54.7
Albania,ALB,2010,53.1
Albania,ALB,,52.1
Albania,ALB,2015,51.2
Andorra,AND,2000,43.6
Andorra,AND,2005,41.3
Andorra,AND,2010,39.2
Andorra,AND,,38.5
Andorra,AND,2015,37.2
Argentina,ARG,2000,43.7
Argentina,ARG,2005,38.2
Argentina,ARG,2010,33.4
Argentina,ARG,,31.8
Argentina,ARG,2015,29.5
Armenia,ARM,2000,67.1
Armenia,ARM,2005,61.5
Armenia,ARM,2010,56.7
Armenia,ARM,,54.8
Armenia,ARM,2015,52.3
Australia,AUS,2000,27.1
Australia,AUS,2005,23
Australia,AUS,2010,19.6
Australia,AUS,,18.4
Australia,AUS,2015,16.7
Austria,AUT,2000,46.4
Austria,AUT,2005,42.3
Austria,AUT,2010,38.8
Austria,AUT,,37.4
Austria,AUT,2015,35.5
Azerbaijan,AZE,2000,58.6
Azerbaijan,AZE,2005,54.1
Azerbaijan,AZE,2010,49.9
Azerbaijan,AZE,,48.6
Azerbaijan,AZE,2015,46.5
Bahrain,BHR,2000,18.2
Bahrain,BHR,2005,25
Bahrain,BHR,2010,34.8
Bahrain,BHR,,40.1
Bahrain,BHR,2015,48.8
Bangladesh,BGD,2000,63.7
Bangladesh,BGD,2005,54.2
Bangladesh,BGD,2010,46.6
Bangladesh,BGD,,43.7
Bangladesh,BGD,2015,39.8
Barbados,BRB,2000,13.8
Barbados,BRB,2005,13.5
Barbados,BRB,2010,13.2
Barbados,BRB,,13.2
Barbados,BRB,2015,13.1
Belarus,BLR,2000,64.1
Belarus,BLR,2005,57.6
Belarus,BLR,2010,51.3
Belarus,BLR,,49.4
Belarus,BLR,2015,46.2
Belgium,BEL,2000,35.6
Belgium,BEL,2005,32.1
Belgium,BEL,2010,29.1
Belgium,BEL,,28
Belgium,BEL,2015,26.5
Benin,BEN,2000,12.4
Benin,BEN,2005,13.8
Benin,BEN,2010,15.6
Benin,BEN,,16.4
Benin,BEN,2015,17.7
Bolivia,BOL,2000,50.9
Bolivia,BOL,2005,42.8
Bolivia,BOL,2010,35.8
Bolivia,BOL,,33.6
Bolivia,BOL,2015,30.5
Bosnia and Herzegovina,BIH,2000,57.7
Bosnia and Herzegovina,BIH,2005,53.8
Bosnia and Herzegovina,BIH,2010,50
Bosnia and Herzegovina,BIH,,49
Bosnia and Herzegovina,BIH,2015,47.2
Brazil,BRA,2000,29.4
Brazil,BRA,2005,25.4
Brazil,BRA,2010,22.2
Brazil,BRA,,21
Brazil,BRA,2015,19.3
Brunei,BRN,2000,29.5
Brunei,BRN,2005,29.2
Brunei,BRN,2010,29.1
Brunei,BRN,,29.2
Brunei,BRN,2015,29.3
Bulgaria,BGR,2000,58.8
Bulgaria,BGR,2005,52.7
Bulgaria,BGR,2010,47.1
Bulgaria,BGR,,45.2
Bulgaria,BGR,2015,42.4
Burkina Faso,BFA,2000,23.6
Burkina Faso,BFA,2005,27
Burkina Faso,BFA,2010,31.1
Burkina Faso,BFA,,33.1
Burkina Faso,BFA,2015,36
Cambodia,KHM,2000,51.2
Cambodia,KHM,2005,48.4
Cambodia,KHM,2010,46
Cambodia,KHM,,45.2
Cambodia,KHM,2015,44.1
Cameroon,CMR,2000,12.3
Cameroon,CMR,2005,18.7
Cameroon,CMR,2010,28.5
Cameroon,CMR,,33.7
Cameroon,CMR,2015,43.8
Canada,CAN,2000,29.4
Canada,CAN,2005,24.8
Canada,CAN,2010,20.9
Canada,CAN,,19.5
Canada,CAN,2015,17.7
Cape Verde,CPV,2000,14.4
Cape Verde,CPV,2005,16.5
Cape Verde,CPV,2010,19.1
Cape Verde,CPV,,20.2
Cape Verde,CPV,2015,22.2
Central Europe and the Baltics,,2000,48.20913374
Central Europe and the Baltics,,2005,43.17698022
Central Europe and the Baltics,,2010,39.00672453
Central Europe and the Baltics,,,37.56564004
Central Europe and the Baltics,,2015,35.43087009
Chile,CHL,2000,49.9
Chile,CHL,2005,46.2
Chile,CHL,2010,42.8
Chile,CHL,,41.7
Chile,CHL,2015,40
China,CHN,2000,55.8
China,CHN,2005,52.9
China,CHN,2010,50.1
China,CHN,,49
China,CHN,2015,47.6
Colombia,COL,2000,24.5
Colombia,COL,2005,21.1
Colombia,COL,2010,18.3
Colombia,COL,,17.2
Colombia,COL,2015,16
Comoros,COM,2000,30.6
Comoros,COM,2005,27.7
Comoros,COM,2010,25.2
Comoros,COM,,24.4
Comoros,COM,2015,23.1
Congo,COG,2000,10.1
Congo,COG,2005,16.2
Congo,COG,2010,26.4
Congo,COG,,32.1
Congo,COG,2015,43.2
Costa Rica,CRI,2000,27.5
Costa Rica,CRI,2005,23.7
Costa Rica,CRI,2010,20.9
Costa Rica,CRI,,19.8
Costa Rica,CRI,2015,18.5
Croatia,HRV,2000,40.3
Croatia,HRV,2005,39.8
Croatia,HRV,2010,39.4
Croatia,HRV,,39.4
Croatia,HRV,2015,39.4
Cuba,CUB,2000,54.7
Cuba,CUB,2005,54
Cuba,CUB,2010,53.2
Cuba,CUB,,53.2
Cuba,CUB,2015,52.7
Czech Republic,CZE,2000,40.7
Czech Republic,CZE,2005,39.5
Czech Republic,CZE,2010,38.5
Czech Republic,CZE,,38
Czech Republic,CZE,2015,37.4
Denmark,DNK,2000,41.6
Denmark,DNK,2005,31.1
Denmark,DNK,2010,23.4
Denmark,DNK,,21
Denmark,DNK,2015,17.6
Dominican Republic,DOM,2000,21.7
Dominican Republic,DOM,2005,20.4
Dominican Republic,DOM,2010,19.5
Dominican Republic,DOM,,19.1
Dominican Republic,DOM,2015,18.8
Early-demographic dividend,,2000,40.42726218
Early-demographic dividend,,2005,36.27229801
Early-demographic dividend,,2010,33.19741902
Early-demographic dividend,,,32.33572722
Early-demographic dividend,,2015,31.11532869
East Asia & Pacific,,2000,55.032652
East Asia & Pacific,,2005,52.56620523
East Asia & Pacific,,2010,50.44338023
East Asia & Pacific,,,49.75475083
East Asia & Pacific,,2015,48.93952522
East Asia & Pacific (IDA & IBRD),,2000,55.48480371
East Asia & Pacific (IDA & IBRD),,2005,53.3417823
East Asia & Pacific (IDA & IBRD),,2010,51.45920077
East Asia & Pacific (IDA & IBRD),,,50.85535924
East Asia & Pacific (IDA & IBRD),,2015,50.14358684
East Asia & Pacific (excluding high income),,2000,55.48480371
East Asia & Pacific (excluding high income),,2005,53.3417823
East Asia & Pacific (excluding high income),,2010,51.45920077
East Asia & Pacific (excluding high income),,,50.85535924
East Asia & Pacific (excluding high income),,2015,50.14358684
Ecuador,ECU,2000,21.4
Ecuador,ECU,2005,18.4
Ecuador,ECU,2010,15.9
Ecuador,ECU,,15.1
Ecuador,ECU,2015,14
Egypt,EGY,2000,35.5
Egypt,EGY,2005,39.3
Egypt,EGY,2010,43.9
Egypt,EGY,,45.9
Egypt,EGY,2015,49.9
Estonia,EST,2000,55.3
Estonia,EST,2005,49.9
Estonia,EST,2010,45.2
Estonia,EST,,43.6
Estonia,EST,2015,41.2
Ethiopia,ETH,2000,9
Ethiopia,ETH,2005,9.1
Ethiopia,ETH,2010,9
Ethiopia,ETH,,8.9
